任务开始运行于 r4518u01n01.misha.ycrc.yale.edu at Wed Dec 17 23:52:04 EST 2025
CUDA_VISIBLE_DEVICES: 0
正在使用的显卡信息：
NVIDIA A40
+ python -u src/train_rl_v3.py --variants_path ./data/branin_family_variants.npz --model_path ./model/finetuned_tabpfn_branin_family.ckpt --total_episodes 5000 --max_steps 20 --n_candidates 128 --hidden_dim 64 --n_cross_attn_layers 2 --update_every 20 --save_every 500 --save_dir ./runs/ppo_bo_1216v3_2 --seed 42
/gpfs/radev/pi/cohan/yz979/environment/miniconda3/envs/fl_test/lib/python3.11/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]

======================================================================
Improved PPO Training for Bayesian Optimization (v3)
======================================================================
Device: cuda
Total Episodes: 5000
Max Steps per Episode: 20
Candidates per Step: 128
Update Every: 20 episodes
网络: hidden=64, self_attn=3, cross_attn=2, heads=8
======================================================================

TensorBoard 日志目录: ./runs/ppo_bo_1216v3_2/tensorboard
环境已创建: 32 个 Branin 变体
PPO 网络参数量: 285,124

开始训练...

Episode    20 | Reward:   7.59 | Regret: 1.7213 | Best: inf | LR: 1.00e-04
Episode    40 | Reward:   7.01 | Regret: 2.2807 | Best: inf | LR: 9.99e-05
Episode    60 | Reward:   7.52 | Regret: 2.0057 | Best: inf | LR: 9.98e-05
Episode    80 | Reward:   7.61 | Regret: 1.9651 | Best: inf | LR: 9.96e-05
Episode   100 | Reward:   7.71 | Regret: 2.0531 | Best: 2.0531 | LR: 9.94e-05
Episode   120 | Reward:   7.46 | Regret: 2.2786 | Best: 2.0531 | LR: 9.91e-05
Episode   140 | Reward:   8.05 | Regret: 2.2382 | Best: 2.0531 | LR: 9.88e-05
Episode   160 | Reward:   7.88 | Regret: 2.3638 | Best: 2.0531 | LR: 9.84e-05
Episode   180 | Reward:   7.81 | Regret: 2.4753 | Best: 2.0531 | LR: 9.80e-05
Episode   200 | Reward:   7.79 | Regret: 2.3843 | Best: 2.0531 | LR: 9.76e-05
Episode   220 | Reward:   8.20 | Regret: 2.1229 | Best: 2.0531 | LR: 9.70e-05
Episode   240 | Reward:   7.94 | Regret: 1.8057 | Best: 1.8057 | LR: 9.65e-05
Episode   260 | Reward:   8.16 | Regret: 1.8230 | Best: 1.8057 | LR: 9.59e-05
Episode   280 | Reward:   8.35 | Regret: 1.7334 | Best: 1.7019 | LR: 9.52e-05
