任务开始运行于 r4516u01n01.misha.ycrc.yale.edu at Fri Dec 19 03:07:37 EST 2025
CUDA_VISIBLE_DEVICES: 0
正在使用的显卡信息：
NVIDIA A40
+ python -u src/train_rl.py --variants_path ./data/goldstein_price_family_variants.npz --model_path ./model/finetuned_tabpfn_goldstein_price_family.ckpt --total_episodes 10000 --max_steps 20 --n_candidates 128 --hidden_dim 64 --n_cross_attn_layers 2 --update_every 20 --save_every 1000 --save_dir ./runs/ppo_bo_1219_v1 --seed 42
/gpfs/radev/pi/cohan/yz979/environment/miniconda3/envs/fl_test/lib/python3.11/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]

======================================================================
Improved PPO Training for Bayesian Optimization (Goldstein-Price)
======================================================================
Device: cuda
Total Episodes: 10000
Max Steps per Episode: 20
Candidates per Step: 128
Update Every: 20 episodes
网络: hidden=64, self_attn=3, cross_attn=2, heads=8
======================================================================

TensorBoard 日志目录: ./runs/ppo_bo_1219_v1/tensorboard
环境已创建: 32 个 Goldstein-Price 变体
PPO 网络参数量: 285,124

开始训练...

Episode    20 | Reward:  23.80 | Regret: 98.2416 | Best: inf | LR: 1.00e-04
Episode    40 | Reward:  24.10 | Regret: 78.9270 | Best: inf | LR: 9.99e-05
Episode    60 | Reward:  22.40 | Regret: 76.5278 | Best: inf | LR: 9.98e-05
Episode    80 | Reward:  21.17 | Regret: 75.7829 | Best: inf | LR: 9.96e-05
Episode   100 | Reward:  21.20 | Regret: 71.3825 | Best: 71.3825 | LR: 9.94e-05
Episode   120 | Reward:  20.85 | Regret: 61.5552 | Best: 59.0585 | LR: 9.91e-05
Episode   140 | Reward:  19.87 | Regret: 68.8225 | Best: 59.0585 | LR: 9.88e-05
Episode   160 | Reward:  20.02 | Regret: 68.4293 | Best: 59.0585 | LR: 9.84e-05
Episode   180 | Reward:  20.06 | Regret: 74.3070 | Best: 59.0585 | LR: 9.80e-05
Episode   200 | Reward:  19.40 | Regret: 79.5479 | Best: 59.0585 | LR: 9.76e-05
Episode   220 | Reward:  18.76 | Regret: 92.0903 | Best: 59.0585 | LR: 9.70e-05
Episode   240 | Reward:  18.59 | Regret: 97.7461 | Best: 59.0585 | LR: 9.65e-05
Episode   260 | Reward:  18.40 | Regret: 102.9673 | Best: 59.0585 | LR: 9.59e-05
Episode   280 | Reward:  18.99 | Regret: 102.9045 | Best: 59.0585 | LR: 9.52e-05
Episode   300 | Reward:  19.32 | Regret: 100.9326 | Best: 59.0585 | LR: 9.46e-05
Episode   320 | Reward:  20.02 | Regret: 93.5195 | Best: 59.0585 | LR: 9.38e-05
Episode   340 | Reward:  19.92 | Regret: 81.8625 | Best: 59.0585 | LR: 9.30e-05
Episode   360 | Reward:  20.70 | Regret: 77.1729 | Best: 59.0585 | LR: 9.22e-05
Episode   380 | Reward:  20.78 | Regret: 68.6711 | Best: 59.0585 | LR: 9.14e-05
Episode   400 | Reward:  21.17 | Regret: 64.3387 | Best: 59.0585 | LR: 9.05e-05
Episode   420 | Reward:  20.66 | Regret: 62.5598 | Best: 59.0585 | LR: 8.95e-05
Episode   440 | Reward:  20.72 | Regret: 62.4307 | Best: 59.0585 | LR: 8.85e-05
Episode   460 | Reward:  19.78 | Regret: 62.7300 | Best: 57.6597 | LR: 8.75e-05
Episode   480 | Reward:  20.22 | Regret: 64.2724 | Best: 57.6597 | LR: 8.64e-05
Episode   500 | Reward:  20.56 | Regret: 66.7141 | Best: 57.6597 | LR: 8.54e-05
Episode   520 | Reward:  19.88 | Regret: 71.9069 | Best: 57.6597 | LR: 8.42e-05
Episode   540 | Reward:  20.24 | Regret: 73.9871 | Best: 57.6597 | LR: 8.31e-05
Episode   560 | Reward:  20.51 | Regret: 76.7618 | Best: 57.6597 | LR: 8.19e-05
Episode   580 | Reward:  19.85 | Regret: 76.4362 | Best: 57.6597 | LR: 8.06e-05
