任务开始运行于 r4518u09n01.misha.ycrc.yale.edu at Sun Dec 21 06:40:17 EST 2025
CUDA_VISIBLE_DEVICES: 0
正在使用的显卡信息：
NVIDIA A40
+ python -u src/train_rl.py --total_episodes 5000 --max_steps 20 --n_candidates 128 --hidden_dim 64 --n_cross_attn_layers 2 --update_every 20 --save_every 1000 --save_dir ./runs/ppo_bo_1221 --seed 42
/gpfs/radev/pi/cohan/yz979/environment/miniconda3/envs/fl_test/lib/python3.11/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]

======================================================================
Improved PPO Training for Bayesian Optimization (Six-Hump Camel)
======================================================================
Device: cuda
Total Episodes: 5000
Max Steps per Episode: 20
Candidates per Step: 128
Update Every: 20 episodes
网络: hidden=64, self_attn=3, cross_attn=2, heads=8
======================================================================

TensorBoard 日志目录: ./runs/ppo_bo_1221/tensorboard
环境已创建: 32 个 Six-Hump Camel 变体
PPO 网络参数量: 285,124

开始训练...

Episode    20 | Reward:   7.01 | Regret: 0.7641 | Best: inf | LR: 1.00e-04
Episode    40 | Reward:   6.03 | Regret: 0.6965 | Best: inf | LR: 9.99e-05
Episode    60 | Reward:   5.93 | Regret: 0.7052 | Best: inf | LR: 9.98e-05
Episode    80 | Reward:   5.87 | Regret: 0.6640 | Best: inf | LR: 9.96e-05
Episode   100 | Reward:   5.89 | Regret: 0.6972 | Best: 0.6972 | LR: 9.94e-05
Episode   120 | Reward:   5.75 | Regret: 0.6564 | Best: 0.6512 | LR: 9.91e-05
Episode   140 | Reward:   6.61 | Regret: 0.6322 | Best: 0.6304 | LR: 9.88e-05
Episode   160 | Reward:   6.80 | Regret: 0.5819 | Best: 0.5784 | LR: 9.84e-05
Episode   180 | Reward:   7.24 | Regret: 0.5809 | Best: 0.5784 | LR: 9.80e-05
Episode   200 | Reward:   7.01 | Regret: 0.5268 | Best: 0.5222 | LR: 9.76e-05
Episode   220 | Reward:   7.62 | Regret: 0.5303 | Best: 0.5118 | LR: 9.70e-05
Episode   240 | Reward:   7.05 | Regret: 0.5561 | Best: 0.5118 | LR: 9.65e-05
Episode   260 | Reward:   7.19 | Regret: 0.5597 | Best: 0.5118 | LR: 9.59e-05
Episode   280 | Reward:   6.83 | Regret: 0.5799 | Best: 0.5118 | LR: 9.52e-05
Episode   300 | Reward:   7.05 | Regret: 0.5817 | Best: 0.5118 | LR: 9.46e-05
Episode   320 | Reward:   6.23 | Regret: 0.5912 | Best: 0.5118 | LR: 9.38e-05
Episode   340 | Reward:   6.17 | Regret: 0.5677 | Best: 0.5118 | LR: 9.30e-05
Episode   360 | Reward:   6.04 | Regret: 0.5792 | Best: 0.5118 | LR: 9.22e-05
Episode   380 | Reward:   6.28 | Regret: 0.5617 | Best: 0.5118 | LR: 9.14e-05
Episode   400 | Reward:   7.18 | Regret: 0.5273 | Best: 0.5118 | LR: 9.05e-05
Episode   420 | Reward:   7.67 | Regret: 0.4944 | Best: 0.4913 | LR: 8.95e-05
Episode   440 | Reward:   7.87 | Regret: 0.5030 | Best: 0.4812 | LR: 8.85e-05
Episode   460 | Reward:   8.06 | Regret: 0.4794 | Best: 0.4682 | LR: 8.75e-05
Episode   480 | Reward:   8.19 | Regret: 0.4747 | Best: 0.4513 | LR: 8.64e-05
Episode   500 | Reward:   7.79 | Regret: 0.4918 | Best: 0.4513 | LR: 8.54e-05
Episode   520 | Reward:   7.56 | Regret: 0.4991 | Best: 0.4513 | LR: 8.42e-05
Episode   540 | Reward:   7.45 | Regret: 0.4763 | Best: 0.4513 | LR: 8.31e-05
Episode   560 | Reward:   7.46 | Regret: 0.4912 | Best: 0.4513 | LR: 8.19e-05
Episode   580 | Reward:   7.11 | Regret: 0.4991 | Best: 0.4513 | LR: 8.06e-05
Episode   600 | Reward:   7.28 | Regret: 0.5066 | Best: 0.4513 | LR: 7.94e-05
Episode   620 | Reward:   7.29 | Regret: 0.5422 | Best: 0.4513 | LR: 7.81e-05
Episode   640 | Reward:   7.29 | Regret: 0.5705 | Best: 0.4513 | LR: 7.68e-05
Episode   660 | Reward:   6.93 | Regret: 0.5804 | Best: 0.4513 | LR: 7.55e-05
Episode   680 | Reward:   7.26 | Regret: 0.5962 | Best: 0.4513 | LR: 7.41e-05
Episode   700 | Reward:   7.08 | Regret: 0.5835 | Best: 0.4513 | LR: 7.27e-05
Episode   720 | Reward:   7.22 | Regret: 0.5518 | Best: 0.4513 | LR: 7.13e-05
Episode   740 | Reward:   7.76 | Regret: 0.5118 | Best: 0.4513 | LR: 6.99e-05
Episode   760 | Reward:   8.02 | Regret: 0.5206 | Best: 0.4513 | LR: 6.84e-05
Episode   780 | Reward:   7.68 | Regret: 0.5300 | Best: 0.4513 | LR: 6.69e-05
Episode   800 | Reward:   7.78 | Regret: 0.5463 | Best: 0.4513 | LR: 6.55e-05
Episode   820 | Reward:   7.47 | Regret: 0.5617 | Best: 0.4513 | LR: 6.39e-05
Episode   840 | Reward:   6.82 | Regret: 0.6119 | Best: 0.4513 | LR: 6.24e-05
Episode   860 | Reward:   7.42 | Regret: 0.5667 | Best: 0.4513 | LR: 6.09e-05
